iter,avg_transfer,avg_approve
0,2110694245,1907630553
1,2112572338,1909449883
2,2114263817,1911390707
3,2115420058,1912377621
4,2116275682,1913365881
5,2117220272,1914168254
6,2117644101,1914761595
7,2118228148,1915052514
8,2118542884,1915636598
9,2119006476,1915847305
10,2119108637,1916156410
11,2119269875,1916242921
12,2119515357,1916396506
13,2119729798,1916641199
14,2119814663,1916585589
15,2119673765,1916479127
16,2119847203,1916610248
17,2119973895,1916668512
18,2120019879,1916943523
19,2120024730,1916809737
20,2119966158,1916944904
21,2119969757,1916755875
22,2120103745,1916844375
23,2120039667,1916816733
24,2120293968,1916683978
25,2119928337,1916688681
26,2120052256,1916858487
27,2120119248,1916880220
28,2119959983,1916822404
29,2120103521,1917086068
30,2119971090,1916891061
31,2120076258,1917022374
32,2120123909,1917054019
33,2120244173,1916936612
34,2120187238,1916855142
35,2120043217,1916800353
36,2120299257,1916718204
37,2120030186,1916987322
38,2120089952,1916858842
39,2120033856,1916837938
40,2120125207,1916902692
41,2120034045,1916922456
42,2120048185,1916885180
43,2120238621,1916897677
44,2120026795,1916983958
45,2120117301,1917049869
46,2120167573,1916915119
47,2120146736,1916765350
48,2120137237,1916855183
49,2120031895,1916838144
50,2120055657,1916813690
51,2120219707,1916790485
52,2120040449,1916845228
53,2119990557,1916862828
54,2120047282,1917196949
55,2119947805,1916983672
56,2120074439,1916941747
57,2120141279,1916981202
58,2120135310,1916994551
59,2120092512,1917013010
60,2120090929,1917062621
61,2120009953,1916850553
62,2120078704,1917014741
63,2119980021,1916928670
64,2120015565,1916863806
65,2120037202,1917006204
66,2120097920,1917061204
67,2120142734,1916958253
68,2120087721,1916920790
69,2119960914,1916827118
70,2120050197,1916917470
71,2119965846,1916889456
72,2119977348,1917014383
73,2120140498,1916910655
74,2120055691,1917015897
75,2120094926,1916716347
76,2120041483,1916927424
77,2120091221,1916946468
78,2120109802,1916966403
79,2120257391,1916894178
80,2120127812,1917176764
81,2120063329,1917015284
82,2120021940,1916782606
83,2120147377,1916791076
84,2119949247,1916922782
85,2119918539,1916948394
86,2120131395,1917186138
87,2120110610,1916974906
88,2120096126,1916966214
89,2120254925,1916832351
90,2120103595,1917134759
91,2120103433,1916763615
92,2120214969,1917064844
93,2120072579,1916990404
94,2119969664,1916806576
95,2120086496,1916907700
96,2120112754,1917130080
97,2120132477,1917037880
98,2119985172,1916893454
99,2120112910,1916785311
